GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2 Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0009534	1	3	0.218	0.651	1.578329408	0.625037495	0.778888258	no
Unigene0009535	462	516	47.9175	53.2723	0.152832929	0.111258582	0.205243591	no
Unigene0009536	26	14	5.314	2.8482	-0.899747772	0.080992299	0.156519547	no
Unigene0009537	11	8	2.5269	1.8293	-0.46607688	0.64776437	0.799338824	no
Unigene0009538	94	18	4.0044	0.7633	-2.391263996	1.55E-13	1.27E-12	yes
Unigene0009539	109	92	10.4117	8.7474	-0.251279476	0.261418099	0.406416233	no
Unigene0009540	251	155	9.6901	5.9564	-0.702070913	2.22E-06	1.05E-05	no
Unigene0009541	213	173	10.4144	8.4198	-0.306721855	0.049133383	0.102675641	no
Unigene0009543	3808	2809	145.396	106.7595	-0.445623126	1.80E-27	2.54E-26	no
Unigene0009544	15	30	1.9854	3.9526	0.993372265	0.035903799	0.078131823	no
Unigene0009545	72	80	3.0956	3.4238	0.145379365	0.571793194	0.730683988	no
Unigene0009546	40	45	1.6975	1.9009	0.163271064	0.665314988	0.815929931	no
Unigene0009547	195	352	13.0139	23.3837	0.845449852	6.13E-11	4.29E-10	no
Unigene0009548	206	412	8.1105	16.1465	0.99335871	4.70E-16	4.37E-15	no
Unigene0009549	3	6	0.5935	1.1816	0.993421796	0.50791091	0.665747767	no
Unigene0009550	81	117	7.9558	11.4389	0.523869411	0.013115237	0.032498396	no
Unigene0009551	93	111	8.7039	10.3408	0.248613915	0.236250785	0.376965897	no
Unigene0009552	2	5	0.4711	1.1724	1.315359636	0.453207015	0.62434186	no
Unigene0009553	7	2	1.2123	0.3448	-1.813915078	0.179785925	0.301125081	no
Unigene0009554	244	158	14.6013	9.4115	-0.63360024	2.07E-05	8.68E-05	no
Unigene0009555	701	336	35.1085	16.7507	-1.067598973	3.74E-29	5.52E-28	yes
Unigene0009556	135	74	6.1668	3.3648	-0.874001303	3.23E-05	0.000132201	no
Unigene0009557	627	8832	58.78	824.1774	3.80955764	0	0	yes
Unigene0009558	0	1	0.001	0.1838	7.521992956	1	1	no
Unigene0009559	31	19	2.8916	1.7641	-0.712935652	0.119380742	0.217308695	no
Unigene0009561	6	12	0.7082	1.4099	0.993364091	0.238096895	0.378565074	no
Unigene0009562	61	57	4.166	3.875	-0.104466529	0.783180223	0.914827623	no
Unigene0009564	195	190	13.0295	12.6371	-0.044116295	0.840009836	0.9584759	no
Unigene0009565	10	0	1.4944	0.001	-10.54535064	0.001957522	0.005906664	yes
Unigene0009566	151	117	8.6274	6.6541	-0.374682299	0.045031818	0.095104148	no
Unigene0009567	43	170	1.7786	6.9995	1.976509778	6.93E-19	7.25E-18	yes
Unigene0009568	54	216	2.196	8.7438	1.993382348	7.69E-24	9.74E-23	yes
Unigene0009569	176	155	9.6302	8.4422	-0.189946752	0.275551666	0.423495458	no
Unigene0009570	282	321	15.7559	17.8525	0.180233953	0.148556102	0.258260149	no
Unigene0009571	113	145	9.6202	12.2877	0.353076106	0.054939492	0.113266774	no
