OTU_num	s1.1	s1.2	s1.3	s1.4	s1.5	s1.6	s1.7	s1.8	s2.1	s2.2	s2.3	s2.4	s2.5	s2.6	s2.7	s2.8	s3.1	s3.2	s3.3	s3.4	s3.5	s3.6	s3.7	s3.8	s4.1	s4.2	s4.3	s4.4	s4.5	s4.6	s4.7	s4.8	s5.1	s5.2	s5.3	s5.4	s5.5	s5.6	s5.7	s5.8
OTU_4923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0.000318742	0.000106247	0	0	0.000106247	0	0.000106247	0.000106247	0	0	0	0.000106247	0	0	0	0	0	0.000106247	0.000106247	0
OTU_4943	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0
OTU_4960	0.000106247	0.000318742	0.000212495	0	0.000212495	0	0.000106247	0	0.000106247	0	0.000106247	0.000106247	0.000212495	0.000106247	0	0	0	0.000106247	0.000106247	0.000106247	0	0	0	0	0	0.000212495	0.000424989	0.000212495	0	0	0.000212495	0.000106247	0	0	0.000212495	0.000212495	0	0	0	0.000318742
OTU_4967	0	0	0	0	0	0.000106247	0	0	0	0	0	0.000106247	0	0	0	0	0.000106247	0	0.000212495	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0.000106247	0	0	0	0.000106247	0	0
OTU_4968	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0.000212495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000212495	0	0	0.000212495	0	0	0	0	0	0	0	0	0.000212495	0.000106247	0
OTU_4983	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000424989	0	0	0	0	0.000212495	0	0	0.000106247	0	0	0	0	0	0.000106247	0
OTU_4985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0.000106247	0.000106247	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0
OTU_4988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0
OTU_4989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0.000212495	0	0	0	0.000106247	0	0
OTU_4992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000318742	0	0	0.000106247	0	0	0	0	0.000318742	0	0	0	0	0	0
OTU_4999	0.001487463	0.000849979	0.000424989	0.000531237	0.000637484	0.000849979	0.000212495	0.000424989	0.000637484	0.000424989	0.000212495	0.001274968	0.000106247	0.000106247	0.000531237	0	0.000212495	0.000743731	0.000849979	0	0.000106247	0.000212495	0.000106247	0.000318742	0.000637484	0.000743731	0.000212495	0.001274968	0.000318742	0.000212495	0.000212495	0.000318742	0.000531237	0.000318742	0.000424989	0.000318742	0.000212495	0.000318742	0.000318742	0.000212495
OTU_5009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000212495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0
OTU_5037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000424989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5038	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5045	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000212495	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5063	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0.000106247	0	0	0	0	0.000106247	0	0.000106247	0	0	0	0.000106247	0	0
OTU_5064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0
OTU_5071	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0.000212495	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0
OTU_5076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247
OTU_5084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0
