ID	logFC
ENSG00000088756	-1.2466
ENSG00000115520	1.0405
ENSG00000182379	1.063
ENSG00000165730	1.8836
ENSG00000085117	-1.2054
ENSG00000196611	10.6782
ENSG00000172985	1.129
ENSG00000173110	5.2578
ENSG00000143333	5.6636
ENSG00000184545	1.3918
ENSG00000198919	-1.3146
ENSG00000170412	1.0126
ENSG00000160326	1.6965
ENSG00000100078	2.0867
ENSG00000274070	-1.1118
ENSG00000104140	-1.0918
ENSG00000171132	1.6652
ENSG00000124813	2.6813
ENSG00000104081	-1.5808
ENSG00000079156	1.5788
ENSG00000153487	1.0529
ENSG00000150630	1.7602
ENSG00000146250	4.9688
ENSG00000134986	-1.364
ENSG00000131737	5.812
ENSG00000197405	2.1831
ENSG00000006015	-1.0252
ENSG00000196159	-1.0782
ENSG00000138650	-1.3099
ENSG00000107738	-1.7586
ENSG00000169252	1.7691
ENSG00000196628	-1.8083
ENSG00000140297	2.0396
ENSG00000126217	2.1205
ENSG00000167600	-1.1426
ENSG00000104856	2.0148
ENSG00000125398	2.2511
ENSG00000073150	1.0871
ENSG00000145287	-1.1229
ENSG00000084731	1.0154
ENSG00000099260	-1.2413
ENSG00000025039	1.4662
ENSG00000091986	-1.1052
ENSG00000178150	4.276
ENSG00000099625	1.8821
ENSG00000144655	2.2488
ENSG00000178752	1.8109
ENSG00000167034	2.5603
ENSG00000137878	1.2277
ENSG00000140015	-2.3676
ENSG00000099998	-1.3047
ENSG00000165124	-1.026
ENSG00000189060	1.0306
ENSG00000143369	1.2944
ENSG00000121068	1.8479
ENSG00000114854	-1.1785
ENSG00000077238	1.5725
ENSG00000169752	-1.1475
ENSG00000079308	-1.0705
ENSG00000104524	-1.1944
ENSG00000131459	1.5939
ENSG00000182809	-1.8072
ENSG00000156804	2.3955
ENSG00000109321	3.2886
ENSG00000111962	1.0585
ENSG00000160888	2.0364
ENSG00000149968	9.1178
ENSG00000110628	1.5702
ENSG00000169715	1.4983
ENSG00000102048	-1.6488
ENSG00000115594	1.6226
ENSG00000158050	2.7748
ENSG00000106089	1.5298
ENSG00000107201	1.0084
ENSG00000164619	-1.6218
ENSG00000020633	1.5801
ENSG00000156232	1.026
ENSG00000137877	2.8265
ENSG00000165887	-2.9217
ENSG00000176692	2.0993
ENSG00000172375	1.0589
ENSG00000112139	1.8357
ENSG00000205426	-1.1104
ENSG00000182685	1.4379
ENSG00000188215	1.2619
ENSG00000160199	1.0045
ENSG00000146592	4.1967
ENSG00000119508	2.8066
ENSG00000166510	1.5234
ENSG00000165072	-3.1184
ENSG00000141441	1.1496
ENSG00000171517	1.2677
ENSG00000144485	1.6357
ENSG00000271447	-1.9324
ENSG00000163286	-1.0334
ENSG00000144285	-3.5733
ENSG00000134363	3.2488
ENSG00000129757	-1.2593
ENSG00000100344	1.0385
ENSG00000062038	-1.5942
ENSG00000127415	1.0276
ENSG00000181885	-1.0246
ENSG00000105289	-1.3901
ENSG00000180801	1.2315
ENSG00000111981	2.3721
ENSG00000198855	1.3717
ENSG00000183018	1.4674
ENSG00000099250	1.2752
ENSG00000109101	-3.4866
ENSG00000184731	1.3521
ENSG00000186832	2.325
ENSG00000117122	-1.7303
ENSG00000185133	-1.0134
ENSG00000198576	7.1495
ENSG00000145147	1.4614
ENSG00000188620	1.6335
ENSG00000162407	1.1103
ENSG00000107554	1.0164
ENSG00000265190	-1.8489
ENSG00000062582	1.8672
ENSG00000171729	1.1484
ENSG00000128917	2.8152
ENSG00000100867	2.8389
ENSG00000122707	-1.0618
ENSG00000173762	3.0994
ENSG00000069667	1.7465
ENSG00000256061	2.3177
ENSG00000163170	-1.1119
ENSG00000002746	-1.2195
ENSG00000105419	1.1398
ENSG00000122877	6.2014
ENSG00000133134	4.9517
ENSG00000119042	1.1521
ENSG00000137474	-1.9385
ENSG00000092295	-1.7296
ENSG00000010404	1.0467
ENSG00000130270	-1.573
ENSG00000132423	-1.0894
ENSG00000173805	1.407
ENSG00000121931	1.0881
ENSG00000184226	-1.0257
ENSG00000125966	-1.0406
ENSG00000163734	4.1979
ENSG00000135540	1.027
ENSG00000204175	-1.3084
ENSG00000091129	1.3086
ENSG00000167676	1.5355
ENSG00000139187	-1.7682
ENSG00000111860	1.0678
ENSG00000168477	1.4832
ENSG00000175575	-1.1297
ENSG00000137460	1.2753
ENSG00000170899	-1.6929
ENSG00000123612	3.2876
ENSG00000243649	2.2085
ENSG00000122367	-2.132
ENSG00000122971	-1.0571
ENSG00000103056	-1.365
ENSG00000139304	-2.671
ENSG00000065357	-1.0119
ENSG00000108375	-1.4086
ENSG00000169884	-1.1246
ENSG00000116574	-1.0966
ENSG00000101695	1.013
ENSG00000167550	1.2518
ENSG00000139946	2.4362
ENSG00000130829	-1.4662
ENSG00000181773	2.0566
ENSG00000154217	1.0731
ENSG00000168679	-1.3767
ENSG00000102195	7.392
ENSG00000173531	1.3168
ENSG00000188015	-1.3226
ENSG00000124406	-1.0453
ENSG00000123179	-1.0226
ENSG00000174951	2.4224
ENSG00000074660	1.7592
ENSG00000101265	-1.0067
ENSG00000182310	-1.0127
ENSG00000166924	1.1794
ENSG00000129355	1.293
ENSG00000198929	1.0944
ENSG00000196787	-1.1795
ENSG00000006611	-1.82
ENSG00000130203	4.2868
ENSG00000205755	2.8881
ENSG00000188290	1.0324
ENSG00000185669	2.669
ENSG00000117525	1.079
ENSG00000135549	2.1019
ENSG00000122133	4.9473
ENSG00000171033	1.1489
ENSG00000144810	-1.4514
ENSG00000144642	-1.7227
ENSG00000121858	-3.8968
ENSG00000184227	1.0802
ENSG00000204228	-1.232
ENSG00000184371	1.2456
ENSG00000103740	2.9065
ENSG00000170442	-1.0636
ENSG00000144120	-1.033
ENSG00000106003	-1.6346
ENSG00000255150	1.1678
ENSG00000162645	-1.5264
ENSG00000163297	2.5019
ENSG00000139800	1.0069
ENSG00000196220	-1.3762
ENSG00000196074	1.9323
ENSG00000265763	-2.2309
ENSG00000251493	1.2051
ENSG00000159251	-1.1139
ENSG00000164778	1.9389
ENSG00000182324	1.0237
ENSG00000182585	2.1034
ENSG00000103522	4.7224
ENSG00000171488	1.3961
ENSG00000148082	1.8821
ENSG00000138678	1.5434
ENSG00000115194	1.2937
ENSG00000140678	6.8537
ENSG00000146530	-1.0883
ENSG00000205436	-2.022
ENSG00000166823	1.0276
ENSG00000203727	-1.7592
ENSG00000169247	1.8006
ENSG00000066230	1.1088
ENSG00000204099	4.1418
ENSG00000113070	1.559
ENSG00000165617	2.8258
ENSG00000213937	2.3016
ENSG00000159556	1.4001
ENSG00000128564	3.6175
ENSG00000197822	2.0036
ENSG00000080511	7.0104
ENSG00000130518	1.0475
ENSG00000105550	6.6574
ENSG00000047617	-1.1106
ENSG00000265972	-3.0029
ENSG00000206077	3.4237
ENSG00000198598	1.1949
ENSG00000043355	1.155
ENSG00000168398	-1.9612
ENSG00000184524	1.8053
ENSG00000143375	-1.1877
ENSG00000149948	1.5244
ENSG00000158022	5.0422
ENSG00000121769	1.0071
ENSG00000174473	-1.3079
ENSG00000163884	2.2323
ENSG00000187955	-2.6422
ENSG00000021645	-1.5494
ENSG00000077585	2.8115
ENSG00000176438	1.3707
ENSG00000278828	-1.4089
ENSG00000243244	-1.1594
ENSG00000184678	-1.2058
