id      	A1	A2	A3	B1	B2	B3	C1	C2	C3
Unigene0000025	16.343	11.8028	14.0538	10.1909	18.7771	13.1943	11.233	13.014	15.8476
Unigene0000026	1.5271	1.192	1.4143	1.1172	2.4452	1.2711	0.9255	1.0709	1.2061
Unigene0000027	0	0	0	0.1344	0.3806	0.1278	0.3541	0.5189	0.2627
Unigene0000028	5.5892	4.4652	5.1055	4.5643	5.9032	5.7786	3.0006	3.7931	2.9333
Unigene0000029	3.0224	3.6478	4.335	2.4076	3.6573	4.0491	5.099	5.7755	3.8114
Unigene0000030	0.4054	0.6394	0.7889	0.8666	1.2614	0.2747	2.0341	1.1504	1.0591
Unigene0000031	0	0	0.0543	0.2734	0.0516	0.104	0.4324	0.4356	0.6416
Unigene0000032	34.4879	33.1506	33.2493	37.0262	51.8951	49.0866	33.8914	33.2342	35.4614
Unigene0000033	8.1436	8.6063	8.1803	3.3305	2.7101	2.8331	0.0154	0.0226	0.0153
Unigene0000034	0.1712	0.0831	0	0	0.1152	0.145	0	0.0442	0
Unigene0000035	0.5525	0.2905	0.1955	0.525	0.7435	0.2652	0.1459	0.1901	0.1925
Unigene0000036	6.9142	4.1792	5.0054	4.4058	7.219	4.082	5.4536	5.5868	6.6143
Unigene0000037	1.0254	1.8928	1.4157	0.6947	3.2798	0.7631	6.2507	5.204	5.5984
Unigene0000038	1.7658	1.7682	1.3746	0.7814	6.084	0.9194	0.9818	0.9111	0.8288
Unigene0000039	0.2269	0.0734	0	0	0.7634	0.0769	0.0266	0	0.1054
Unigene0000040	1.3924	0.6483	0.9774	1.0648	2.6886	1.0738	0.287	0.3621	0.2603
Unigene0000041	0.1295	0.0629	0	0	0.3051	0	0	0	0
Unigene0000042	1.02	0	0.0849	0.1283	1.9781	0.0813	0.1268	0.1238	0.0836
Unigene0000043	0.3309	0.5889	0.0781	0	0.7051	0.1121	0	0	0
Unigene0000044	0.3582	0.0869	0.2535	0.0638	0.7532	0	0.0315	0.1848	0.1248
Unigene0000045	4.8108	6.7319	7.5169	8.0137	7.0621	9.0593	4.2241	4.3198	4.1355
Unigene0000046	0	0	0	4.4523	4.7739	4.6641	0	0.0729	0
Unigene0000047	0.8104	0.3129	0.3259	0.5446	1.3073	0.3369	0.2659	0.2471	0.2759
Unigene0000048	7.4764	3.8993	3.808	4.6766	11.1227	4.7199	1.0976	0.9358	1.1748
Unigene0000049	0	0.1408	0.132	0.0738	0.1673	0.1123	0	0	0
Unigene0000050	0	0	0	0	0.0422	0	0.6178	1.2286	0.5676
